,1,368,0,137,62,193,157,TARGET
179,23,234692.94,2,3,1,99,3,0
180,57,117310.979016494,2,3,1,99,3,1
181,25,172933.98,2,3,1,99,3,0
182,30,150948.42,2,3,1,99,3,0
183,36,64822.17,2,3,1,1,3,0
184,22,237627.24,2,3,1,0,3,0
185,24,84466.38,2,3,1,3,3,0
186,61,117310.979016494,2,3,1,1,3,0
187,23,117310.979016494,2,3,1,3,3,0
188,32,98212.23,2,3,1,99,3,1
189,30,183841.44,2,3,1,99,3,0
190,31,57358.74,2,3,1,99,3,0
191,26,117310.979016494,2,3,1,2,3,0
192,27,145599.06,2,3,1,3,3,0
193,23,174618.3,2,3,1,99,3,0
194,23,38522.64,2,3,1,99,3,0
195,32,117310.979016494,2,3,1,99,3,0
196,23,117310.979016494,2,3,1,99,3,0
197,23,22237.38,2,3,1,99,3,0
198,23,112511.97,2,3,1,3,3,0
199,71,165191.58,2,3,1,3,3,0
200,23,347962.41,2,3,1,99,3,0
201,23,38308.23,2,3,1,99,3,0
202,36,92121.36,2,9,1,3,6,0
203,29,50972.85,2,3,1,99,3,0
204,25,416583.03,2,3,1,3,3,0
205,45,71501.1,2,3,1,99,3,0
206,23,1374570.75,2,3,1,99,3,0
207,88,141187.53,2,6,1,1,6,0
208,24,59316.45,2,3,1,3,3,0
209,45,63203.34,4,6,1,1,6,0
210,39,117310.979016494,2,3,1,3,3,0
211,23,36780.45,2,3,1,99,3,0
212,59,167222.52,2,3,1,1,3,0
213,36,96494.16,2,3,1,99,3,0
214,23,412668.78,2,3,1,99,3,0
215,30,116531.64,10,3,1,2,3,0
216,23,182846.85,2,3,1,3,3,0
217,53,78252.81,2,6,1,2,3,0
218,23,117310.979016494,2,3,1,3,3,0
219,33,117310.979016494,2,3,1,99,3,0
220,23,170310.93,2,3,1,3,3,0
221,23,30290.64,2,3,1,3,3,0
222,44,74486.55,2,3,1,99,3,0
223,23,117310.979016494,2,3,1,99,3,0
224,23,117310.979016494,2,3,1,99,3,0
225,24,107570.16,2,3,1,99,3,0
226,23,83948.1,2,3,1,3,3,0
227,25,22763.58,2,3,1,3,3,0
228,44,117310.979016494,2,3,1,3,3,0
229,37,154851.96,2,3,1,99,3,0
230,31,45678.3,2,3,1,3,3,0
231,23,57561.63,2,3,1,3,3,0
232,23,39815.55,2,3,1,99,3,0
233,38,48861.0,2,3,1,3,3,0
234,23,93648.99,2,3,1,99,3,0
235,55,359419.14,2,3,1,2,3,0
236,24,120388.89,2,3,1,99,3,0
237,23,54443.31,2,3,1,99,3,0
238,60,80056.14,2,3,1,2,3,0
239,28,117310.979016494,2,3,1,99,3,0
240,34,83266.14,2,3,1,2,3,0
241,64,186291.03,2,3,1,3,3,0
242,26,117310.979016494,2,3,1,3,3,0
243,25,65166.39,2,3,1,99,3,0
244,23,117310.979016494,2,3,1,99,3,0
245,23,117310.979016494,2,3,1,99,3,0
246,24,61771.95,2,3,1,99,3,0
247,33,117310.979016494,2,6,1,3,3,0
248,34,117310.979016494,2,3,1,2,3,0
249,23,71070.3,2,3,1,99,3,0
250,27,268640.97,2,3,1,99,3,0
251,24,283117.71,2,3,1,3,3,0
252,36,115657.23,2,3,1,1,3,0
253,100,96617.22,2,3,1,99,3,0
254,38,105827.07,2,3,1,3,3,0
255,24,50527.26,2,3,1,99,3,0
256,23,117310.979016494,2,3,1,3,3,0
257,23,50647.68,2,3,1,99,3,0
258,31,87471.24,2,3,1,1,3,0
259,28,40853.31,2,3,1,99,3,1
260,28,386898.18,2,3,1,99,3,0
261,37,156278.34,2,3,1,2,3,0
262,43,117310.979016494,2,3,1,1,3,0
263,52,117310.979016494,2,3,1,99,3,0
264,22,79380.0,2,3,1,0,3,0
265,27,104087.28,2,3,1,1,3,0
266,22,88460.91,2,3,1,99,3,0
267,32,65961.69,2,3,1,1,3,0
268,30,157787.19,2,3,1,99,3,1
269,55,117310.979016494,2,3,1,99,3,0
270,38,62581.86,2,3,1,99,3,0
271,27,119530.92,2,3,1,99,3,0
272,24,117310.979016494,2,3,1,3,3,0
273,43,117310.979016494,2,3,1,2,3,0
274,23,71858.94,2,3,1,3,3,0
275,23,117310.979016494,2,3,1,99,3,0
276,25,79973.88,2,3,1,1,3,0
277,60,137151.15,2,9,1,3,6,0
278,51,87288.69,2,3,1,1,3,0
279,74,196439.1,2,12,1,1,6,0
280,23,90773.76,2,3,1,99,3,0
281,27,117310.979016494,2,3,1,3,3,0
282,26,182891.07,2,3,1,1,3,0
283,23,234128.46,2,3,1,2,3,0
284,25,117310.979016494,2,3,1,3,3,0
285,32,155866.5,2,6,1,2,3,0
286,32,80623.89,2,3,1,3,3,0
287,26,117310.979016494,2,3,1,99,3,0
288,24,108933.27,2,3,1,3,3,0
289,23,117310.979016494,2,3,1,99,3,0
290,22,117310.979016494,2,3,1,0,3,0
291,86,117716.88,2,6,1,2,3,0
292,31,81199.74,2,3,1,99,3,0
293,39,149428.89,2,3,1,2,3,0
294,25,55279.29,2,3,1,3,3,0
295,63,273655.38,2,3,1,99,3,0
296,59,51297.51,2,6,1,3,3,0
297,44,72815.4,2,6,1,2,3,0
298,40,191698.29,2,3,1,99,3,0
299,40,52962.45,2,3,1,1,3,0
300,44,26619.24,2,3,1,3,3,1
301,30,39143.34,2,3,1,2,3,0
302,28,117310.979016494,2,3,1,3,3,0
303,34,117310.979016494,2,3,1,1,3,0
304,52,114905.67,2,3,1,2,3,0
305,52,80705.76,2,3,1,1,3,0
306,23,144837.0,2,3,1,99,3,0
307,23,37727.49,2,3,1,3,3,0
308,24,108908.34,2,3,1,3,3,0
309,28,63611.34,2,3,1,3,3,0
310,23,117310.979016494,2,3,1,2,3,0
311,36,42264.45,2,3,1,1,3,1
312,27,328239.84,2,3,1,3,3,0
313,28,81088.2,2,3,1,3,3,0
314,30,53549.49,2,3,1,99,3,0
315,29,233512.68,2,3,1,99,3,0
316,23,85286.28,2,3,1,3,3,0
317,25,141630.39,2,3,1,1,3,0
318,25,175566.93,2,3,1,99,3,0
319,30,58371.54,2,3,1,3,3,0
320,23,83551.41,2,3,1,3,3,0
321,27,66866.58,2,3,1,3,3,0
322,24,232500.45,2,3,1,99,3,0
323,37,128121.45,2,3,1,1,3,0
324,24,31092.45,2,3,1,3,3,0
325,38,57485.28,2,3,1,99,3,1
326,25,117310.979016494,2,3,1,99,3,0
327,33,90380.61,2,3,1,1,3,0
328,73,127201.86,2,3,1,3,3,0
329,24,85641.42,2,3,1,3,3,0
330,23,69193.17,2,3,1,3,3,0
331,29,124590.3,2,3,1,3,3,0
332,35,120032.46,2,3,1,3,3,0
333,37,97978.05,2,3,1,2,3,0
334,23,68097.54,2,3,1,1,3,0
335,28,117310.979016494,2,3,1,99,3,0
336,36,80492.67,2,3,1,99,3,1
337,30,101973.87,2,3,1,99,3,0
338,80,79757.79,110,0,0,99,0,0
339,50,117310.979016494,2,6,1,2,6,0
340,25,117310.979016494,2,3,1,3,3,0
341,77,86641.86,2,6,1,1,6,0
342,28,100253.37,2,3,1,99,3,0
343,24,117310.979016494,2,3,1,3,3,0
344,23,103287.6,2,3,1,3,3,0
345,37,117310.979016494,2,3,1,2,3,0
346,35,117310.979016494,2,3,1,99,3,0
347,36,50230.14,2,3,1,3,3,0
348,48,72054.27,2,6,1,1,6,0
349,23,117310.979016494,2,3,1,99,3,0
350,72,119238.72,2,3,1,2,3,0
351,30,70882.5,2,3,1,99,3,0
352,39,117310.979016494,2,6,1,2,3,0
353,45,80073.87,2,6,1,1,6,0
354,22,64866.96,2,3,1,99,3,0
355,25,54887.1,2,3,1,1,3,0
356,34,107923.98,2,6,1,1,6,0
357,26,86363.31,2,3,1,3,3,0
358,24,117797.64,2,3,1,3,3,0
359,24,67047.6,2,3,1,99,3,0
360,23,75485.82,2,3,1,3,3,0
361,38,36178.68,2,6,1,1,6,0
362,38,70588.41,2,3,1,2,3,0
363,34,141293.7,2,3,1,99,3,1
364,23,117310.979016494,2,3,1,3,3,0
365,51,51396.93,2,3,1,1,3,1
366,23,117060.3,2,3,1,1,3,0
367,27,117310.979016494,2,3,1,3,3,0
368,23,117310.979016494,2,3,1,99,3,0
369,25,268504.08,2,3,1,99,3,0
370,23,89761.29,2,3,1,1,3,0
371,32,149698.32,2,3,1,2,3,0
372,25,58495.56,2,3,1,3,3,0
373,34,116245.23,2,3,1,99,3,0
374,48,92912.4,2,9,1,3,6,0
375,23,117310.979016494,2,3,1,99,3,0
376,43,94641.24,2,6,1,2,3,0
377,45,90883.44,2,3,1,1,3,0
378,23,132356.25,2,3,1,99,3,0
379,34,117310.979016494,2,3,1,99,3,0
380,50,114088.98,2,3,1,3,3,0
381,29,324294.3,2,3,1,99,3,0
382,41,124095.3,2,3,1,1,3,0
383,39,117310.979016494,2,6,1,2,6,0
384,30,117310.979016494,2,3,1,99,3,0
385,37,131087.7,2,3,1,99,3,0
386,46,544584.84,2,6,1,1,6,0
387,29,29016.0,2,3,1,3,3,0
388,31,80969.94,2,3,1,1,3,0
389,30,132050.88,2,3,1,99,3,0
390,24,105229.11,2,3,1,99,3,0
391,23,117310.979016494,2,3,1,3,3,0
392,23,52148.37,2,3,1,3,3,0
393,23,43674.3,2,3,1,99,3,0
394,26,77630.16,2,3,1,99,3,0
395,27,131441.67,2,3,1,3,3,1
396,23,117310.979016494,2,3,1,99,3,0
397,52,75652.56,2,3,1,3,3,0
398,23,131846.31,2,3,1,99,3,0
399,34,119707.2,2,3,1,1,3,0
400,51,49596.15,2,6,1,2,6,0
401,23,115169.73,2,3,1,99,3,0
402,24,117310.979016494,2,3,1,2,3,0
403,24,99165.99,2,3,1,99,3,0
404,23,101220.81,2,3,1,99,3,0
405,23,116524.8,2,3,1,99,3,0
406,45,116258.73,2,3,1,99,3,0
407,23,28693.92,2,3,1,3,3,0
408,35,117310.979016494,2,3,1,99,3,0
409,41,70207.53,2,3,1,1,3,0
410,23,71829.12,2,3,1,99,3,0
411,56,117310.979016494,2,3,1,99,3,1
412,41,60098.49,2,6,1,1,6,0
413,68,84237.54,2,9,1,3,6,0
414,38,86658.57,2,3,1,3,3,0
415,35,129147.96,2,3,1,3,3,0
416,42,69055.02,2,3,1,1,3,0
417,23,117310.979016494,2,3,1,3,3,0
418,55,152748.96,2,9,1,2,6,0
419,29,148968.36,2,3,1,1,3,0
420,35,66997.47,2,3,1,99,3,0
421,23,126683.82,2,3,1,3,3,0
422,29,135728.43,2,6,1,3,6,0
423,44,177841.86,2,6,1,1,6,0
424,51,1069263.06,2,3,1,1,3,0
425,23,201217.53,2,3,1,99,3,0
426,28,75087.81,2,3,1,3,3,0
427,24,88620.93,2,3,1,99,3,0
428,23,97911.99,2,3,1,3,3,0
429,23,82420.38,2,3,1,99,3,0
430,25,92534.7,2,3,1,3,3,0
431,38,80154.87,2,3,1,3,3,0
432,49,62397.03,2,3,1,1,3,0
433,68,54046.29,2,3,1,3,3,0
434,28,109607.01,2,3,1,3,3,0
435,23,83080.59,2,3,1,2,3,0
436,29,117310.979016494,2,3,1,99,3,0
437,24,59771.61,2,3,1,3,3,0
438,30,117310.979016494,2,3,1,99,3,0
439,25,21300.03,2,3,1,99,3,0
440,23,189002.49,2,3,1,99,3,0
441,53,74281.41,2,6,1,1,6,0
442,25,83036.04,2,3,1,99,3,0
443,65,93480.09,0,3,1,1,3,0
444,48,117310.979016494,2,3,1,1,3,0
445,23,5431377.63,2,3,1,1,3,0
446,23,117310.979016494,2,3,1,3,3,0
447,47,10528.47,2,6,1,1,3,0
448,36,96288.21,2,3,1,99,3,0
449,32,117310.979016494,2,3,1,3,3,0
450,28,140790.21,2,3,1,3,3,0
451,25,211939.05,2,3,1,99,3,0
452,43,117310.979016494,2,3,1,99,3,0
453,23,103275.84,2,3,1,99,3,0
454,35,86826.03,7,3,1,2,3,0
455,24,39773.04,2,3,1,3,3,0
456,25,80795.94,2,3,1,3,3,0
457,57,124721.91,177,6,1,1,6,0
458,26,117310.979016494,2,3,1,99,3,0
459,23,45582.96,2,3,1,3,3,0
460,25,113402.82,2,3,1,3,3,0
461,34,90549.36,2,3,1,3,3,0
462,24,53800.11,2,3,1,3,3,0
463,72,267838.56,2,9,1,3,6,0
464,51,97318.95,2,9,1,2,6,0
465,34,81513.36,2,3,1,2,3,0
466,31,69593.55,2,3,1,3,3,0
467,30,192647.49,2,3,1,99,3,1
468,23,46833.0,2,3,1,99,3,0
469,23,125133.93,2,3,1,99,3,0
470,23,267218.01,2,3,1,3,3,0
471,23,50658.18,2,3,1,99,3,0
472,25,278500.53,2,3,1,99,3,0
473,30,113322.45,2,3,1,3,3,0
474,23,174895.71,2,3,1,99,3,0
475,27,103666.83,2,3,1,3,3,0
476,30,117310.979016494,2,3,1,1,3,0
477,23,117310.979016494,2,3,1,3,3,0
478,46,45447.24,2,3,1,1,3,0
479,24,61653.75,2,3,1,3,3,0
480,23,72124.11,2,3,1,99,3,0
481,51,117310.979016494,2,3,1,99,3,0
482,31,59226.39,2,3,1,3,3,0
483,23,178385.4,2,3,1,99,3,0
484,23,80889.27,2,3,1,99,3,0
485,23,131768.82,2,3,1,99,3,0
486,44,65076.12,2,3,1,1,3,0
487,23,153874.08,2,3,1,3,3,0
488,36,131405.85,2,3,1,99,3,0
489,25,47063.07,2,3,1,2,3,0
490,23,63322.65,2,3,1,1,3,0
491,23,52266.21,2,3,1,99,3,0
492,68,68260.35,2,3,1,99,3,0
493,48,78217.08,2,3,1,99,3,1
494,23,117310.979016494,2,3,1,3,3,0
495,30,74322.15,2,3,1,3,3,0
496,23,117310.979016494,2,3,1,3,3,0
497,27,52297.41,2,3,1,99,3,0
498,54,82714.59,2,3,1,99,3,1
499,23,157568.34,2,3,1,99,3,0
500,51,209661.03,2,6,1,3,6,0
501,48,98790.54,2,3,1,99,3,0
502,21,127993.35,2,3,1,1,3,0
503,26,321608.34,2,3,1,99,3,0
504,23,117310.979016494,2,3,1,3,3,0
505,75,208128.96,2,3,1,99,3,0
506,31,30428.91,2,3,1,99,3,0
507,31,76627.71,2,3,1,3,3,0
508,23,42306.99,2,3,1,99,3,0
509,42,80669.64,2,3,1,99,3,0
510,42,44556.51,2,3,1,99,3,0
511,26,181276.77,2,3,1,99,3,0
512,23,88348.02,2,3,1,3,3,0
513,44,404953.89,2,3,1,99,3,0
514,51,130840.2,2,3,1,1,3,0
515,31,117310.979016494,2,3,1,2,3,0
516,25,48693.87,2,3,1,99,3,0
517,23,109252.08,2,3,1,3,3,0
518,23,32009.43,2,3,1,3,3,0
519,23,53316.12,2,3,1,99,3,0
520,22,42554.13,2,3,1,0,3,0
521,27,345158.7,2,3,1,99,3,0
522,41,56986.92,2,3,1,99,3,0
523,27,113549.43,2,3,1,2,3,0
524,40,56713.35,2,6,1,2,3,0
525,31,70971.3,2,3,1,3,3,0
526,55,46484.19,2,3,1,1,3,0
527,29,117310.979016494,2,3,1,3,3,0
528,48,117310.979016494,2,3,1,2,3,0
529,24,196317.9,2,3,1,99,3,0
530,53,117310.979016494,2,3,1,1,3,0
531,43,117310.979016494,2,6,1,2,3,0
532,75,22691.49,2,3,1,1,3,0
533,23,117310.979016494,2,3,1,99,3,0
534,58,143834.49,2,6,1,3,3,0
535,31,316101.57,2,3,1,99,3,0
536,34,91143.12,2,3,1,99,3,0
537,24,117310.979016494,2,3,1,3,3,0
538,24,316751.88,2,3,1,99,3,0
539,67,104342.19,2,6,1,3,3,0
540,27,77153.61,2,3,1,3,3,0
541,24,117310.979016494,2,3,1,3,3,0
542,27,108880.56,2,3,1,3,3,0
543,43,49633.8,2,3,1,99,3,0
544,25,117310.979016494,2,3,1,3,3,0
545,46,107641.92,2,3,1,1,3,0
546,23,52571.22,2,3,1,99,3,0
547,23,38883.87,2,3,1,2,3,0
548,47,123091.23,2,3,1,3,3,0
549,26,286721.1,2,3,1,99,3,0
550,54,117310.979016494,1,3,1,99,3,0
551,27,348110.7,2,3,1,3,3,0
552,26,155719.35,2,3,1,99,3,0
553,33,38310.96,2,3,1,99,3,0
554,42,68494.32,10,3,1,2,3,0
555,24,120137.25,2,3,1,3,3,0
556,23,74987.61,2,3,1,1,3,0
557,23,158789.64,2,3,1,99,3,0
558,33,234673.53,2,3,1,99,3,0
559,23,48869.88,2,3,1,3,3,0
560,13,117310.979016494,2,3,1,99,3,0
561,29,112197.57,2,3,1,3,3,0
562,23,104790.18,2,3,1,3,3,0
563,24,73150.53,2,3,1,2,3,0
564,23,108418.71,2,3,1,99,3,0
565,42,117310.979016494,2,3,1,1,3,0
566,25,117310.979016494,2,3,1,2,3,0
567,23,117310.979016494,2,3,1,3,3,0
568,61,117310.979016494,2,3,1,1,3,1
569,23,71609.37,2,3,1,2,3,0
570,32,110661.15,2,3,1,99,3,1
571,37,43408.83,2,3,1,99,3,1
572,26,41059.44,2,3,1,2,3,0
573,23,61655.25,2,3,1,99,3,0
574,23,176283.63,2,3,1,99,3,0
575,41,93660.99,2,6,1,1,6,0
576,23,111304.62,2,3,1,99,3,0
577,28,44159.34,2,3,1,99,3,0
578,40,208519.2,2,6,1,2,6,0
579,23,124669.14,2,3,1,3,3,0
580,35,98377.44,2,3,1,99,3,0
581,24,108487.56,2,3,1,99,3,0
582,25,75250.92,2,3,1,3,3,0
583,45,49337.97,6,3,1,1,3,0
584,24,158954.16,2,3,1,3,3,0
585,27,117310.979016494,2,3,1,3,3,0
586,36,117310.979016494,2,3,1,1,3,0
587,23,58455.93,2,3,1,99,3,0
588,53,176365.56,2,6,1,2,3,0
589,23,50298.81,2,3,1,3,3,0
590,25,48202.71,2,3,1,3,3,0
591,23,117310.979016494,2,9,1,2,6,0
592,23,74373.66,2,3,1,99,3,0
593,27,117310.979016494,2,3,1,99,3,0
594,23,208516.08,2,3,1,3,3,0
595,23,39318.18,2,3,1,3,3,0
596,49,67823.52,2,3,1,1,3,1
597,34,117310.979016494,2,3,1,2,3,0
598,40,117310.979016494,2,3,1,1,3,0
599,23,117441.63,2,3,1,99,3,0
600,23,76049.52,2,3,1,1,3,0
601,38,117310.979016494,2,3,1,99,3,1
602,23,288768.87,2,3,1,2,3,0
603,48,130806.78,137,3,1,1,3,0
604,23,117310.979016494,2,3,1,99,3,0
605,27,294409.08,2,3,1,99,3,0
606,52,160862.19,2,3,1,99,3,0
607,51,133072.44,2,3,1,99,3,0
608,54,107638.29,2,3,1,2,3,0
609,24,117310.979016494,2,3,1,99,3,0
610,26,59776.17,2,3,1,3,3,0
611,27,75693.39,2,3,1,99,3,0
612,35,74688.81,2,3,1,1,3,0
613,71,126313.98,2,3,1,1,3,0
614,26,84112.26,2,3,1,3,3,0
615,32,164043.09,2,3,1,99,3,0
616,36,174064.89,2,9,1,2,6,0
617,25,208363.68,2,3,1,3,3,0
618,83,217192.89,2,3,1,2,3,0
619,24,117310.979016494,2,3,1,99,3,0
620,23,73717.59,2,3,1,2,3,0
621,30,207467.73,2,3,1,99,3,0
622,44,83720.97,2,3,1,99,3,0
623,26,118465.02,2,3,1,3,3,0
624,23,146764.41,2,3,1,1,3,0
625,27,91720.41,2,3,1,3,3,0
626,24,59378.82,2,3,1,99,3,0
627,29,80329.74,2,3,1,99,3,0
628,23,61897.08,2,3,1,99,3,0
629,31,99613.92,2,3,1,3,3,0
630,23,89154.72,2,3,1,3,3,0
631,23,127179.03,2,3,1,99,3,0
632,23,30085.95,2,3,1,99,3,0
633,48,124710.93,2,3,1,3,3,0
634,46,81963.69,2,6,1,1,3,0
635,46,111086.91,2,3,1,3,3,0
636,54,49550.58,2,3,1,3,3,0
637,23,126313.8,2,3,1,99,3,0
638,27,226847.76,2,3,1,1,3,0
639,43,140622.51,2,3,1,99,3,0
640,23,41779.98,2,3,1,99,3,1
641,87,117310.979016494,2,3,1,99,3,0
642,23,335295.78,2,3,1,2,3,0
643,26,78549.69,2,3,1,3,3,0
644,37,18562.08,2,3,1,1,3,0
645,23,39188.67,2,3,1,99,3,0
646,58,106442.1,2,3,1,99,3,0
647,23,145934.73,2,3,1,3,3,0
648,25,34261.38,2,3,1,3,3,0
649,26,87772.11,2,3,1,99,3,0
650,24,97328.37,2,3,1,3,3,0
651,23,57863.13,2,3,1,99,3,0
